"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTPN2|P17706",1.20877624070653,939431.978947369,10.9950074246814,8.18989848680495e-23,7.20396070743189e-21,40.9602660479172
"MAPK14|Q16539",2.4428703119771,1622980.84078947,10.983664089671,8.88945346222913e-23,7.70082578337804e-21,40.8789636307734
"TMTC3|Q6ZXV5",-5.63178347297412,2912871.25657895,-10.9625653580815,1.03527738935998e-22,8.90105033633934e-21,40.7278076976346
"OPRL1|P41146",-1.66200403546105,253826.655375,-15.3376163967274,2.4829019590214e-25,3.63999793607816e-23,40.7091078789534
"STX12|Q86Y82",-22.649495735014,24457463.5526316,-10.9168344030564,1.44004575088646e-22,1.21977208602864e-20,40.4004850969063
"DCTD|P32321",-3.48528882332467,1204608.03552632,-10.9023794560282,1.59823660015163e-22,1.34381143549514e-20,40.2971100955625
"CTRB2|Q6GPI1",-1.63388971394278,368453.690925926,-11.3876078491181,2.13945347040587e-22,1.74747503100651e-20,40.2893831577186
"GAS6|Q14393",1.64569501153471,494625.901792453,10.9904335820889,1.68080279033983e-22,1.40291824142598e-20,40.2783887849998
"FAM135A|Q9P2D6",0.379595300896475,107912.287384615,11.8583129176034,2.27480880420772e-22,1.84485380681668e-20,40.210440483758
"SLIT2|O94813",-8.06277444670775,4561726.0745614,-10.8860043613507,1.79844533532658e-22,1.49023350793184e-20,40.1800542051334
"FUT8|Q9BYC5",-3.76563215693109,1414434.77938596,-10.8683723907611,2.04202943164167e-22,1.67989975185774e-20,40.0540746774331
"LIN37|Q96GY3",0.716141345058991,283851.263444444,11.1781979864708,2.49226710443121e-22,1.99294226148048e-20,40.0029845173453
"RPS25|P62851",-26.4140894929272,23873800.1315789,-10.8473521836096,2.37570523104946e-22,1.91311192373596e-20,39.9039695697147
"RFX4|Q33E94",0.226581172849912,88977.2334146342,13.3504345882204,4.12725545777696e-22,3.23254562737531e-20,39.8791713533942
"TAZ|Q16635",1.11457021185245,144434.689375,19.2156217509112,9.26845928799748e-24,9.99856905266521e-22,39.6946546466429
"FGF12|P61328",-26.338595851611,25919923.9078947,-10.8019074949529,3.29433634333751e-22,2.61602333931003e-20,39.5797616343239
"MICU2|Q8IYU8",-1.04658501580501,356860.984204545,-11.1472498210384,3.90615851798373e-22,3.08047742435475e-20,39.5507816992411
"SP3|Q02447",-1.03653810531476,262257.700390625,-11.7501125961802,5.24273128122433e-22,4.02353236246981e-20,39.4268759660118
"EXOSC7|Q15024",2.56081099577234,1319086.38377193,10.7664901508249,4.24904144542822e-22,3.30529176384161e-20,39.3273893054474
"ELOVL4|Q9GZR5",-3.84305392122479,810896.309693877,-10.9046577012914,6.51262102574825e-22,4.93190870393584e-20,39.1363445456793
"TMEM25|Q86YD3",20.5346287227764,6771835.11008772,10.7393373585119,5.16354946316607e-22,3.98953973725027e-20,39.1340871071547
"SPPL2B|Q8TCT7",1.41916121441251,556085.089649123,10.7100122671082,6.37241907216425e-22,4.85790747267988e-20,38.9254970786136
"JMJD1C|Q15652",-5.14096028570204,647295.08425,-13.3010275633915,8.27920485338981e-22,6.22846759858635e-20,38.9051965244555
"MYO7A|Q13402",-2.28403432431552,371134.744652778,-11.2981403010173,1.55209722979834e-21,1.16001515181333e-19,38.3257841522459
"B3GALT1|Q9Y5Z6",1.03403716123785,89562.3642424242,15.0594050977651,8.50463180341965e-23,7.42369959329036e-21,38.1756704003408
"KIF26B|Q2KJY2",3.92658117267879,958385.526530612,10.7747998865453,1.57768730422843e-21,1.17148404700338e-19,38.1141649263677
"KDM5A|P29375",-1.7448636948025,389836.541340206,-10.7723326563831,1.76755498761993e-21,1.29564046688679e-19,37.9655354154566
"RAB13|P51153",-8.18274161471054,6069735.44736842,-10.557862618147,1.89246728159857e-21,1.37836709331718e-19,37.84626879619
"RHOA|P61586",-66.960187776904,107697636.666667,-10.4832706193755,3.22097200884863e-21,2.33112752665722e-19,37.3190703891392
"TNK2|Q07912",2.52997723916698,1077951.09298246,10.4778642437928,3.34738605662736e-21,2.40738110424741e-19,37.2809091316853
"TLE4|Q04727",-6.53295778553066,4286115.15350877,-10.470071809283,3.53833032768934e-21,2.52880045607047e-19,37.2259176494267
"ARMCX3|Q9UH62",-13.6031944476779,13317409.2894737,-10.4672187532301,3.610920647229e-21,2.55862629902342e-19,37.205787061775
"PCDHGA4|Q9Y5G9",2.26193172656331,415722.512876712,11.091716505235,4.56308005093408e-21,3.1058821656209e-19,37.2029852079558
